Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Thermoplasmatales archaeon],Thermoplasmatales archaeon,235,235,100%,7e-78,100.00,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD6955088.1?report=genbank&log$=prottop&blast_rank=1&RID=0VF2G3E9016"",""MBD6955088.1"")"
TPA: hypothetical protein [Euryarchaeota archaeon],Euryarchaeota archaeon,193,193,80%,2e-61,100.00,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU12677.1?report=genbank&log$=prottop&blast_rank=2&RID=0VF2G3E9016"",""HEU12677.1"")"
hypothetical protein C0180_06750 [Aciduliprofundum sp.],Aciduliprofundum sp.,233,233,100%,4e-77,98.32,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PMP73440.1?report=genbank&log$=prottop&blast_rank=3&RID=0VF2G3E9016"",""PMP73440.1"")"
hypothetical protein [Thermoplasmata archaeon],Thermoplasmata archaeon,204,204,100%,2e-65,82.50,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI4434247.1?report=genbank&log$=prottop&blast_rank=4&RID=0VF2G3E9016"",""MCI4434247.1"")"



		


